"m","beta","ell","high","prior","proposals","direct_max","formula_max"
3,0.999,0.5,0.8,0.8,108,0.334,0.334
3,0.999,0.5,0.8,1,108,0.334,0.334
4,0.2,0.05,0.15,0,856,0.94,0.94
4,0.2,0.05,0.15,0.01,856,0.9311,0.9311
4,0.2,0.05,0.15,0.3,856,0.92,0.92
4,0.2,0.05,0.15,0.8,856,0.92,0.92
4,0.2,0.05,0.15,1,856,0.92,0.92
4,0.2,0.05,0.15,0.0449438202247191,856,0.92,0.92
4,0.2,0.05,0.15,0.0224719101123595,856,0.92,0.92
4,0.2,0.1,0.25,0,856,0.93,0.93
4,0.2,0.1,0.25,0.01,856,0.9212,0.9212
4,0.2,0.1,0.25,0.3,856,0.9,0.9
4,0.2,0.1,0.25,0.8,856,0.9,0.9
4,0.2,0.1,0.25,1,856,0.9,0.9
4,0.2,0.1,0.25,0.0340909090909091,856,0.9,0.9
4,0.2,0.25,0.7,0,856,0.9,0.9
4,0.2,0.25,0.7,0.01,856,0.9,0.9
4,0.2,0.25,0.7,0.3,856,0.9,0.9
4,0.2,0.25,0.7,0.8,856,0.9,0.9
4,0.2,0.25,0.7,1,856,0.9,0.9
4,0.2,0.1,0.7,0,856,0.93,0.93
4,0.2,0.1,0.7,0.01,856,0.9212,0.9212
4,0.2,0.1,0.7,0.3,856,0.9,0.9
4,0.2,0.1,0.7,0.8,856,0.9,0.9
4,0.2,0.1,0.7,1,856,0.9,0.9
4,0.2,0.1,0.7,0.0340909090909091,856,0.9,0.9
4,0.2,0.5,0.8,0,856,0.9,0.9
4,0.2,0.5,0.8,0.01,856,0.9,0.9
4,0.2,0.5,0.8,0.3,856,0.9,0.9
4,0.2,0.5,0.8,0.8,856,0.9,0.9
4,0.2,0.5,0.8,1,856,0.9,0.9
4,0.9,0.05,0.15,0,856,0.73,0.73
4,0.9,0.05,0.15,0.01,856,0.72495,0.72495
4,0.9,0.05,0.15,0.3,856,0.64,0.64
4,0.9,0.05,0.15,0.8,856,0.64,0.64
4,0.9,0.05,0.15,1,856,0.64,0.64
4,0.9,0.05,0.15,0.356435643564357,856,0.64,0.64
4,0.9,0.05,0.15,0.178217821782178,856,0.64,0.64
4,0.9,0.1,0.25,0,855,0.685,0.685
4,0.9,0.1,0.25,0.01,855,0.6804,0.6804
4,0.9,0.1,0.25,0.3,855,0.55,0.55
4,0.9,0.1,0.25,0.8,855,0.55,0.55
4,0.9,0.1,0.25,1,855,0.55,0.55
4,0.9,0.1,0.25,0.293478260869565,855,0.55,0.55
4,0.9,0.25,0.7,0,727,0.55,0.55
4,0.9,0.25,0.7,0.01,727,0.55,0.55
4,0.9,0.25,0.7,0.3,727,0.55,0.55
4,0.9,0.25,0.7,0.8,727,0.55,0.55
4,0.9,0.25,0.7,1,727,0.55,0.55
4,0.9,0.1,0.7,0,736,0.685,0.685
4,0.9,0.1,0.7,0.01,736,0.6804,0.6804
4,0.9,0.1,0.7,0.3,736,0.55,0.55
4,0.9,0.1,0.7,0.8,736,0.55,0.55
4,0.9,0.1,0.7,1,736,0.55,0.55
4,0.9,0.1,0.7,0.293478260869565,736,0.55,0.55
4,0.9,0.5,0.8,0,624,0.55,0.55
4,0.9,0.5,0.8,0.01,624,0.55,0.55
4,0.9,0.5,0.8,0.3,624,0.55,0.55
4,0.9,0.5,0.8,0.8,624,0.55,0.55
4,0.9,0.5,0.8,1,624,0.55,0.55
4,0.999,0.05,0.15,0,855,0.7003,0.7003
4,0.999,0.05,0.15,0.01,855,0.6957945,0.6957945
4,0.999,0.05,0.15,0.3,855,0.6004,0.6004
4,0.999,0.05,0.15,0.8,855,0.6004,0.6004
4,0.999,0.05,0.15,1,855,0.6004,0.6004
4,0.999,0.05,0.15,0.443457995782932,855,0.6004,0.6004
4,0.999,0.05,0.15,0.221728997891466,855,0.6004,0.6004
4,0.999,0.1,0.25,0,840,0.65035,0.65035
4,0.999,0.1,0.25,0.01,840,0.646344,0.646344
4,0.999,0.1,0.25,0.3,840,0.53017,0.53017
4,0.999,0.1,0.25,0.8,840,0.5005,0.5005
4,0.999,0.1,0.25,1,840,0.5005,0.5005
4,0.999,0.1,0.25,0.374063904143784,840,0.5005,0.5005
4,0.999,0.1,0.25,0.374063904143784,840,0.5005,0.5005
4,0.999,0.25,0.7,0,646,0.5005,0.5005
4,0.999,0.25,0.7,0.01,646,0.5005,0.5005
4,0.999,0.25,0.7,0.3,646,0.5005,0.5005
4,0.999,0.25,0.7,0.8,646,0.5005,0.5005
4,0.999,0.25,0.7,1,646,0.5005,0.5005
4,0.999,0.1,0.7,0,674,0.65035,0.65035
4,0.999,0.1,0.7,0.01,674,0.646344,0.646344
4,0.999,0.1,0.7,0.3,674,0.53017,0.53017
4,0.999,0.1,0.7,0.8,674,0.5005,0.5005
4,0.999,0.1,0.7,1,674,0.5005,0.5005
4,0.999,0.1,0.7,0.374063904143784,674,0.5005,0.5005
4,0.999,0.5,0.8,0,523,0.5005,0.5005
4,0.999,0.5,0.8,0.01,523,0.5005,0.5005
4,0.999,0.5,0.8,0.3,523,0.5005,0.5005
4,0.999,0.5,0.8,0.8,523,0.5005,0.5005
