"check_id","pass","detail","checked_on","source"
"M_min_support_0020",TRUE,"enumerated=0.46000000; E=0.46000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_low_r_branch_0020",TRUE,"feasible=TRUE; enumerated=0.54900000; B=0.54900000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_r_branch_0020",TRUE,"active_feasible=FALSE; enumerated=absent; C=0.34000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_weak_support_branch_0020",TRUE,"actual=; expected=","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_exists_Nge4_0020",TRUE,"exists=FALSE; E=0.46000000; B=0.54900000; C=0.34000000; pool=FALSE","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_identity_0020",TRUE,"E-C=0.12000000; o1-c=0.12000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_prior_cutoff_0020",TRUE,"cutoff=0.31707317; mu=0.10000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_cap_empty_TY_0020",TRUE,"bar_y=0.30000000; o1=0.30000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_TY_condition_0020",TRUE,"limit=0.08440000; K=0.23940000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_min_support_0021",TRUE,"enumerated=0.55000000; E=0.55000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_low_r_branch_0021",TRUE,"feasible=TRUE; enumerated=0.60000000; B=0.60000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_r_branch_0021",TRUE,"active_feasible=FALSE; enumerated=absent; C=0.40000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_weak_support_branch_0021",TRUE,"actual=; expected=","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_exists_Nge4_0021",TRUE,"exists=FALSE; E=0.55000000; B=0.60000000; C=0.40000000; pool=FALSE","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_identity_0021",TRUE,"E-C=0.15000000; o1-c=0.15000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_prior_cutoff_0021",TRUE,"cutoff=0.20000000; mu=0.10000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_cap_empty_TY_0021",TRUE,"bar_y=0.30000000; o1=0.30000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_TY_condition_0021",TRUE,"limit=0.05875000; K=0.21375000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_min_support_0022",TRUE,"enumerated=0.48571429; E=0.48571429","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_low_r_branch_0022",TRUE,"feasible=TRUE; enumerated=0.52071429; B=0.52071429","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_r_branch_0022",TRUE,"active_feasible=FALSE; enumerated=absent; C=0.31428571","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_weak_support_branch_0022",TRUE,"actual=; expected=","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_exists_Nge4_0022",TRUE,"exists=FALSE; E=0.48571429; B=0.52071429; C=0.31428571; pool=FALSE","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_identity_0022",TRUE,"E-C=0.17142857; o1-c=0.17142857","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_prior_cutoff_0022",TRUE,"cutoff=0.18032787; mu=0.10000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_cap_empty_TY_0022",TRUE,"bar_y=0.30000000; o1=0.30000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_TY_condition_0022",TRUE,"limit=0.04042857; K=0.19542857","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_min_support_0023",TRUE,"enumerated=0.55000000; E=0.55000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_low_r_branch_0023",TRUE,"feasible=TRUE; enumerated=0.56250000; B=0.56250000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_r_branch_0023",TRUE,"active_feasible=FALSE; enumerated=absent; C=0.36250000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_weak_support_branch_0023",TRUE,"actual=; expected=","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_exists_Nge4_0023",TRUE,"exists=FALSE; E=0.55000000; B=0.56250000; C=0.36250000; pool=FALSE","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_pool_identity_0023",TRUE,"E-C=0.18750000; o1-c=0.18750000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"M_prior_cutoff_0023",TRUE,"cutoff=0.12500000; mu=0.10000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_cap_empty_TY_0023",TRUE,"bar_y=0.30000000; o1=0.30000000","2026-08-04","Goal 3 PBE-UD analytical rederivation"
"U_TY_condition_0023",TRUE,"limit=0.02668750; K=0.18168750","2026-08-04","Goal 3 PBE-UD analytical rederivation"
