"beta","t0","t1","o","mu2_star","a0_1","a1","no_cheap_H_margin","candidate_pattern","any_H_prefers_U","interior_Delta_crossing","mu_share_H_prefers_U","max_V_W_U","min_entry_gap_M_minus_U"
0.45,0.15,0.26,0,0.129411764705882,0.1995,0.26,0.1125,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0667083333333333,0.016625
0.5,0.15,0.26,0,0.129411764705882,0.205,0.26,0.108333333333333,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.06625,0.0170833333333333
0.55,0.15,0.26,0,0.129411764705882,0.2105,0.26,0.104166666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0657916666666667,0.0175416666666667
0.6,0.15,0.26,0,0.129411764705882,0.216,0.26,0.1,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0653333333333333,0.018
0.65,0.15,0.26,0,0.129411764705882,0.2215,0.26,0.0958333333333334,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.064875,0.0184583333333333
0.7,0.15,0.26,0,0.129411764705882,0.227,0.26,0.0916666666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0644166666666667,0.0189166666666667
0.75,0.15,0.26,0,0.129411764705882,0.2325,0.26,0.0875,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0639583333333333,0.019375
0.8,0.15,0.26,0,0.129411764705882,0.238,0.26,0.0833333333333334,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0635,0.0198333333333333
0.85,0.15,0.26,0,0.129411764705882,0.2435,0.26,0.0791666666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0630416666666667,0.0202916666666667
0.9,0.15,0.26,0,0.129411764705882,0.249,0.26,0.075,"delay_plus_pooling",TRUE,FALSE,0.966033966033966,0.06375,0.0195833333333333
0.45,0.2,0.31,0,0.1375,0.2495,0.31,0.1625,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0625416666666667,0.0207916666666667
0.5,0.2,0.31,0,0.1375,0.255,0.31,0.158333333333333,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0620833333333333,0.02125
0.55,0.2,0.31,0,0.1375,0.2605,0.31,0.154166666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.061625,0.0217083333333333
0.6,0.2,0.31,0,0.1375,0.266,0.31,0.15,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0611666666666667,0.0221666666666667
0.65,0.2,0.31,0,0.1375,0.2715,0.31,0.145833333333333,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0607083333333333,0.022625
0.7,0.2,0.31,0,0.1375,0.277,0.31,0.141666666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.06025,0.0230833333333333
0.75,0.2,0.31,0,0.1375,0.2825,0.31,0.1375,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0597916666666667,0.0235416666666667
0.8,0.2,0.31,0,0.1375,0.288,0.31,0.133333333333333,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0593333333333333,0.024
0.85,0.2,0.31,0,0.1375,0.2935,0.31,0.129166666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.058875,0.0244583333333333
0.9,0.2,0.31,0,0.1375,0.299,0.31,0.125,"delay_plus_pooling",TRUE,FALSE,0.957042957042957,0.06,0.0233333333333333
0.45,0.25,0.36,0,0.146666666666667,0.2995,0.36,0.2125,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.058375,0.0249583333333333
