"o","branch","gap"
0.249,"H included under majority",-0.349155
0.25,"H included under majority",-0.34875
0.25001,"H excluded; majority agreement",-0.2474919
0.251013058641975,"H excluded; majority agreement",-0.2466794225
0.252016117283951,"H excluded; majority agreement",-0.245866945
0.253019175925926,"H excluded; majority agreement",-0.2450544675
0.254022234567901,"H excluded; majority agreement",-0.24424199
0.255025293209877,"H excluded; majority agreement",-0.2434295125
0.256028351851852,"H excluded; majority agreement",-0.242617035
0.257031410493827,"H excluded; majority agreement",-0.2418045575
0.258034469135802,"H excluded; majority agreement",-0.24099208
0.259037527777778,"H excluded; majority agreement",-0.2401796025
0.260040586419753,"H excluded; majority agreement",-0.239367125
0.261043645061728,"H excluded; majority agreement",-0.2385546475
0.262046703703704,"H excluded; majority agreement",-0.23774217
0.263049762345679,"H excluded; majority agreement",-0.2369296925
0.264052820987654,"H excluded; majority agreement",-0.236117215
0.26505587962963,"H excluded; majority agreement",-0.2353047375
0.266058938271605,"H excluded; majority agreement",-0.23449226
0.26706199691358,"H excluded; majority agreement",-0.2336797825
0.268065055555556,"H excluded; majority agreement",-0.232867305
0.269068114197531,"H excluded; majority agreement",-0.2320548275
0.270071172839506,"H excluded; majority agreement",-0.23124235
0.271074231481481,"H excluded; majority agreement",-0.2304298725
0.272077290123457,"H excluded; majority agreement",-0.229617395
0.273080348765432,"H excluded; majority agreement",-0.2288049175
0.274083407407407,"H excluded; majority agreement",-0.22799244
0.275086466049383,"H excluded; majority agreement",-0.2271799625
0.276089524691358,"H excluded; majority agreement",-0.226367485
0.277092583333333,"H excluded; majority agreement",-0.2255550075
0.278095641975309,"H excluded; majority agreement",-0.22474253
0.279098700617284,"H excluded; majority agreement",-0.2239300525
0.280101759259259,"H excluded; majority agreement",-0.223117575
0.281104817901235,"H excluded; majority agreement",-0.2223050975
0.28210787654321,"H excluded; majority agreement",-0.22149262
0.283110935185185,"H excluded; majority agreement",-0.2206801425
0.28411399382716,"H excluded; majority agreement",-0.219867665
0.285117052469136,"H excluded; majority agreement",-0.2190551875
0.286120111111111,"H excluded; majority agreement",-0.21824271
0.287123169753086,"H excluded; majority agreement",-0.2174302325
0.288126228395062,"H excluded; majority agreement",-0.216617755
0.289129287037037,"H excluded; majority agreement",-0.2158052775
0.290132345679012,"H excluded; majority agreement",-0.2149928
0.291135404320988,"H excluded; majority agreement",-0.2141803225
0.292138462962963,"H excluded; majority agreement",-0.213367845
0.293141521604938,"H excluded; majority agreement",-0.2125553675
0.294144580246914,"H excluded; majority agreement",-0.21174289
0.295147638888889,"H excluded; majority agreement",-0.2109304125
0.296150697530864,"H excluded; majority agreement",-0.210117935
0.29715375617284,"H excluded; majority agreement",-0.2093054575
0.298156814814815,"H excluded; majority agreement",-0.20849298
0.29915987345679,"H excluded; majority agreement",-0.2076805025
0.300162932098765,"H excluded; majority agreement",-0.206868025
0.301165990740741,"H excluded; majority agreement",-0.2060555475
0.302169049382716,"H excluded; majority agreement",-0.20524307
0.303172108024691,"H excluded; majority agreement",-0.2044305925
0.304175166666667,"H excluded; majority agreement",-0.203618115
0.305178225308642,"H excluded; majority agreement",-0.2028056375
0.306181283950617,"H excluded; majority agreement",-0.20199316
0.307184342592593,"H excluded; majority agreement",-0.2011806825
0.308187401234568,"H excluded; majority agreement",-0.200368205
0.309190459876543,"H excluded; majority agreement",-0.1995557275
0.310193518518519,"H excluded; majority agreement",-0.19874325
0.311196577160494,"H excluded; majority agreement",-0.1979307725
0.312199635802469,"H excluded; majority agreement",-0.197118295
0.313202694444444,"H excluded; majority agreement",-0.1963058175
0.31420575308642,"H excluded; majority agreement",-0.19549334
0.315208811728395,"H excluded; majority agreement",-0.1946808625
0.31621187037037,"H excluded; majority agreement",-0.193868385
0.317214929012346,"H excluded; majority agreement",-0.1930559075
0.318217987654321,"H excluded; majority agreement",-0.19224343
0.319221046296296,"H excluded; majority agreement",-0.1914309525
0.320224104938272,"H excluded; majority agreement",-0.190618475
0.321227163580247,"H excluded; majority agreement",-0.1898059975
0.322230222222222,"H excluded; majority agreement",-0.18899352
0.323233280864198,"H excluded; majority agreement",-0.1881810425
0.324236339506173,"H excluded; majority agreement",-0.187368565
0.325239398148148,"H excluded; majority agreement",-0.1865560875
0.326242456790123,"H excluded; majority agreement",-0.18574361
0.327245515432099,"H excluded; majority agreement",-0.1849311325
0.328248574074074,"H excluded; majority agreement",-0.184118655
0.329251632716049,"H excluded; majority agreement",-0.1833061775
0.330254691358025,"H excluded; majority agreement",-0.1824937
0.33125775,"H excluded; majority agreement",-0.1816812225
0.332260808641975,"H excluded; majority agreement",-0.180868745
0.333263867283951,"H excluded; majority agreement",-0.1800562675
0.334266925925926,"H excluded; majority agreement",-0.17924379
0.335269984567901,"H excluded; majority agreement",-0.1784313125
0.336273043209877,"H excluded; majority agreement",-0.177618835
0.337276101851852,"H excluded; majority agreement",-0.1768063575
0.338279160493827,"H excluded; majority agreement",-0.17599388
0.339282219135802,"H excluded; majority agreement",-0.1751814025
0.340285277777778,"H excluded; majority agreement",-0.174368925
0.341288336419753,"H excluded; majority agreement",-0.1735564475
0.342291395061728,"H excluded; majority agreement",-0.17274397
0.343294453703704,"H excluded; majority agreement",-0.1719314925
0.344297512345679,"H excluded; majority agreement",-0.171119015
0.345300570987654,"H excluded; majority agreement",-0.1703065375
0.34630362962963,"H excluded; majority agreement",-0.16949406
0.347306688271605,"H excluded; majority agreement",-0.1686815825
0.34830974691358,"H excluded; majority agreement",-0.167869105
0.349312805555556,"H excluded; majority agreement",-0.1670566275
