"nu","vertical_value","region","hegemon_type","polygon_id","record_type"
0,2.05599888,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,2.06399872,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,2.07199856,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,2.0799984,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,2.08799824,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,2.09599808,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,2.10399792,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,2.11199776,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,2.1199976,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,2.12799744,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,2.13599728,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,2.14399712,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,2.15199696,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,2.1599968,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,2.16799664,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,2.17599648,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,2.18399632,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,2.19199616,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,2.199996,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,2.20799584,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,2.21599568,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,2.22399552,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,2.23199536,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,2.2399952,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,2.24799504,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,2.25599488,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,2.26399472,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,2.27199456,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,2.2799944,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,2.28799424,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,2.29599408,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,2.30399392,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
0,2.31199376,"No comparison: no pure-vote PBE (unanimity)","Low type","none_low_type","region_polygon"
