"o_0","o_1","panel","region"
0.0262745098039216,0.157864923747277,"N3 - maioria em R1","Pooling (P)"
0.0328540305010893,0.157864923747277,"N3 - maioria em R1","Pooling (P)"
0.0394335511982571,0.157864923747277,"N3 - maioria em R1","Pooling (P)"
0.0460130718954248,0.157864923747277,"N3 - maioria em R1","Pooling (P)"
0.0525925925925926,0.157864923747277,"N3 - maioria em R1","Pooling (P)"
0.0591721132897603,0.157864923747277,"N3 - maioria em R1","Pooling (P)"
0.0657516339869281,0.157864923747277,"N3 - maioria em R1","Pooling (P)"
0.0723311546840959,0.157864923747277,"N3 - maioria em R1","Pooling (P)"
0.0789106753812636,0.157864923747277,"N3 - maioria em R1","Pooling (P)"
0.0854901960784314,0.157864923747277,"N3 - maioria em R1","Pooling (P)"
0.0920697167755991,0.157864923747277,"N3 - maioria em R1","Pooling (P)"
0.0986492374727669,0.157864923747277,"N3 - maioria em R1","Pooling (P)"
0.105228758169935,0.157864923747277,"N3 - maioria em R1","Pooling (P)"
0.111808278867102,0.157864923747277,"N3 - maioria em R1","Pooling (P)"
0.11838779956427,0.157864923747277,"N3 - maioria em R1","Pooling (P)"
0.124967320261438,0.157864923747277,"N3 - maioria em R1","Pooling (P)"
0.131546840958606,0.157864923747277,"N3 - maioria em R1","Pooling (P)"
0.138126361655773,0.157864923747277,"N3 - maioria em R1","Pooling (P)"
0.144705882352941,0.157864923747277,"N3 - maioria em R1","Pooling (P)"
0.151285403050109,0.157864923747277,"N3 - maioria em R1","Pooling (P)"
0.0065359477124183,0.164444444444444,"N3 - maioria em R1","Pooling (P)"
0.0131154684095861,0.164444444444444,"N3 - maioria em R1","Pooling (P)"
0.0196949891067538,0.164444444444444,"N3 - maioria em R1","Pooling (P)"
0.0262745098039216,0.164444444444444,"N3 - maioria em R1","Pooling (P)"
0.0328540305010893,0.164444444444444,"N3 - maioria em R1","Pooling (P)"
0.0394335511982571,0.164444444444444,"N3 - maioria em R1","Pooling (P)"
0.0460130718954248,0.164444444444444,"N3 - maioria em R1","Pooling (P)"
0.0525925925925926,0.164444444444444,"N3 - maioria em R1","Pooling (P)"
0.0591721132897603,0.164444444444444,"N3 - maioria em R1","Pooling (P)"
0.0657516339869281,0.164444444444444,"N3 - maioria em R1","Pooling (P)"
0.0723311546840959,0.164444444444444,"N3 - maioria em R1","Pooling (P)"
0.0789106753812636,0.164444444444444,"N3 - maioria em R1","Pooling (P)"
0.0854901960784314,0.164444444444444,"N3 - maioria em R1","Pooling (P)"
0.0920697167755991,0.164444444444444,"N3 - maioria em R1","Pooling (P)"
0.0986492374727669,0.164444444444444,"N3 - maioria em R1","Pooling (P)"
0.105228758169935,0.164444444444444,"N3 - maioria em R1","Pooling (P)"
0.111808278867102,0.164444444444444,"N3 - maioria em R1","Pooling (P)"
0.11838779956427,0.164444444444444,"N3 - maioria em R1","Pooling (P)"
0.124967320261438,0.164444444444444,"N3 - maioria em R1","Pooling (P)"
0.131546840958606,0.164444444444444,"N3 - maioria em R1","Pooling (P)"
0.138126361655773,0.164444444444444,"N3 - maioria em R1","Pooling (P)"
0.144705882352941,0.164444444444444,"N3 - maioria em R1","Pooling (P)"
0.151285403050109,0.164444444444444,"N3 - maioria em R1","Pooling (P)"
0.157864923747277,0.164444444444444,"N3 - maioria em R1","Pooling (P)"
0.0065359477124183,0.171023965141612,"N3 - maioria em R1","Pooling (P)"
0.0131154684095861,0.171023965141612,"N3 - maioria em R1","Pooling (P)"
0.0196949891067538,0.171023965141612,"N3 - maioria em R1","Pooling (P)"
0.0262745098039216,0.171023965141612,"N3 - maioria em R1","Pooling (P)"
0.0328540305010893,0.171023965141612,"N3 - maioria em R1","Pooling (P)"
0.0394335511982571,0.171023965141612,"N3 - maioria em R1","Pooling (P)"
0.0460130718954248,0.171023965141612,"N3 - maioria em R1","Pooling (P)"
0.0525925925925926,0.171023965141612,"N3 - maioria em R1","Pooling (P)"
0.0591721132897603,0.171023965141612,"N3 - maioria em R1","Pooling (P)"
0.0657516339869281,0.171023965141612,"N3 - maioria em R1","Pooling (P)"
0.0723311546840959,0.171023965141612,"N3 - maioria em R1","Pooling (P)"
0.0789106753812636,0.171023965141612,"N3 - maioria em R1","Pooling (P)"
0.0854901960784314,0.171023965141612,"N3 - maioria em R1","Pooling (P)"
0.0920697167755991,0.171023965141612,"N3 - maioria em R1","Pooling (P)"
0.0986492374727669,0.171023965141612,"N3 - maioria em R1","Pooling (P)"
0.105228758169935,0.171023965141612,"N3 - maioria em R1","Pooling (P)"
0.111808278867102,0.171023965141612,"N3 - maioria em R1","Pooling (P)"
0.11838779956427,0.171023965141612,"N3 - maioria em R1","Pooling (P)"
0.124967320261438,0.171023965141612,"N3 - maioria em R1","Pooling (P)"
0.131546840958606,0.171023965141612,"N3 - maioria em R1","Pooling (P)"
0.138126361655773,0.171023965141612,"N3 - maioria em R1","Pooling (P)"
0.144705882352941,0.171023965141612,"N3 - maioria em R1","Pooling (P)"
0.151285403050109,0.171023965141612,"N3 - maioria em R1","Pooling (P)"
0.157864923747277,0.171023965141612,"N3 - maioria em R1","Pooling (P)"
0.164444444444444,0.171023965141612,"N3 - maioria em R1","Pooling (P)"
0.0065359477124183,0.17760348583878,"N3 - maioria em R1","Pooling (P)"
0.0131154684095861,0.17760348583878,"N3 - maioria em R1","Pooling (P)"
0.0196949891067538,0.17760348583878,"N3 - maioria em R1","Pooling (P)"
0.0262745098039216,0.17760348583878,"N3 - maioria em R1","Pooling (P)"
0.0328540305010893,0.17760348583878,"N3 - maioria em R1","Pooling (P)"
0.0394335511982571,0.17760348583878,"N3 - maioria em R1","Pooling (P)"
0.0460130718954248,0.17760348583878,"N3 - maioria em R1","Pooling (P)"
0.0525925925925926,0.17760348583878,"N3 - maioria em R1","Pooling (P)"
0.0591721132897603,0.17760348583878,"N3 - maioria em R1","Pooling (P)"
0.0657516339869281,0.17760348583878,"N3 - maioria em R1","Pooling (P)"
0.0723311546840959,0.17760348583878,"N3 - maioria em R1","Pooling (P)"
0.0789106753812636,0.17760348583878,"N3 - maioria em R1","Pooling (P)"
0.0854901960784314,0.17760348583878,"N3 - maioria em R1","Pooling (P)"
0.0920697167755991,0.17760348583878,"N3 - maioria em R1","Pooling (P)"
0.0986492374727669,0.17760348583878,"N3 - maioria em R1","Pooling (P)"
0.105228758169935,0.17760348583878,"N3 - maioria em R1","Pooling (P)"
0.111808278867102,0.17760348583878,"N3 - maioria em R1","Pooling (P)"
0.11838779956427,0.17760348583878,"N3 - maioria em R1","Pooling (P)"
0.124967320261438,0.17760348583878,"N3 - maioria em R1","Pooling (P)"
0.131546840958606,0.17760348583878,"N3 - maioria em R1","Pooling (P)"
0.138126361655773,0.17760348583878,"N3 - maioria em R1","Pooling (P)"
0.144705882352941,0.17760348583878,"N3 - maioria em R1","Pooling (P)"
0.151285403050109,0.17760348583878,"N3 - maioria em R1","Pooling (P)"
0.157864923747277,0.17760348583878,"N3 - maioria em R1","Pooling (P)"
0.164444444444444,0.17760348583878,"N3 - maioria em R1","Pooling (P)"
0.171023965141612,0.17760348583878,"N3 - maioria em R1","Pooling (P)"
0.0065359477124183,0.184183006535948,"N3 - maioria em R1","Pooling (P)"
0.0131154684095861,0.184183006535948,"N3 - maioria em R1","Pooling (P)"
0.0196949891067538,0.184183006535948,"N3 - maioria em R1","Pooling (P)"
0.0262745098039216,0.184183006535948,"N3 - maioria em R1","Pooling (P)"
0.0328540305010893,0.184183006535948,"N3 - maioria em R1","Pooling (P)"
0.0394335511982571,0.184183006535948,"N3 - maioria em R1","Pooling (P)"
0.0460130718954248,0.184183006535948,"N3 - maioria em R1","Pooling (P)"
0.0525925925925926,0.184183006535948,"N3 - maioria em R1","Pooling (P)"
0.0591721132897603,0.184183006535948,"N3 - maioria em R1","Pooling (P)"
0.0657516339869281,0.184183006535948,"N3 - maioria em R1","Pooling (P)"
0.0723311546840959,0.184183006535948,"N3 - maioria em R1","Pooling (P)"
0.0789106753812636,0.184183006535948,"N3 - maioria em R1","Pooling (P)"
0.0854901960784314,0.184183006535948,"N3 - maioria em R1","Pooling (P)"
0.0920697167755991,0.184183006535948,"N3 - maioria em R1","Pooling (P)"
