"node","status","N","pair_id","o_0","o_1","beta","nu","cell_id","selected_class","proposer_payoff","H_theta_0","H_theta_1"
"N1","PASS",5,"below",0.0625,0.125,0.9,0.25,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.9,0.341772051898734,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.9,0.341772141898734,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.9,0.341772151897734,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.9,0.341772151898724,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.9,0.341772151898734,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.9,0.341772151898744,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.9,0.341772151899734,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.9,0.341772161898734,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.9,0.341772251898734,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.9,0.5,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.9,0.75,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.9,0.95,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.9,0.99999999,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.9,0.999999999999,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.9,0.99999999999999,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.9,1,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,1e-14,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,1e-12,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,1e-08,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.05,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.0666665666666667,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.0666666566666667,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.0666666666656667,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.0666666666666567,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.0666666666666667,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.0666666666666767,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.0666666666676667,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.0666666766666667,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.0666667666666667,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.139633186318759,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.139633276318759,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.139633286317759,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.139633286318749,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.139633286318759,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.139633286318769,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.139633286319759,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.139633296318759,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.139633386318759,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.25,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.418899758956276,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.418899848956276,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.418899858955276,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.418899858956266,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.418899858956276,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.418899858956286,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.418899858957276,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.418899868956276,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.418899958956276,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.5,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.75,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.95,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.99999999,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.999999999999,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,0.99999999999999,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"below",0.0625,0.125,0.99,1,"N1-UNIQUE","E",1,0.0625,0.125
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,1e-14,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,1e-12,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,1e-08,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.05,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.130434682608696,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.130434772608696,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.130434782607696,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.130434782608686,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.130434782608696,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.130434782608706,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.130434782609696,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.130434792608696,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.130434882608696,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.1999999,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.19999999,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.199999999999,"N1-UNIQUE","E",1,0.0625,0.25
"N1","PASS",5,"o1_equal_low",0.0625,0.25,0.5,0.19999999999999,"N1-UNIQUE","E",1,0.0625,0.25
